,0,1,2,3,4,5
158,8,0.8888888888888888,QSAR-TID-12014,QSAR-TID-11,3122,3050
159,8,0.6666666666666666,QSAR-TID-12014,QSAR-TID-10980,3122,3277
160,7,0.7777777777777778,QSAR-TID-30044,QSAR-TID-11,3123,3050
161,7,0.5833333333333334,QSAR-TID-30044,QSAR-TID-10980,3123,3277
162,7,0.7777777777777778,QSAR-TID-30010,QSAR-TID-11,3124,3050
163,7,0.5833333333333334,QSAR-TID-30010,QSAR-TID-10980,3124,3277
164,7,0.7777777777777778,QSAR-TID-20014,QSAR-TID-11,3125,3050
165,7,0.5833333333333334,QSAR-TID-20014,QSAR-TID-10980,3125,3277
166,8,0.8888888888888888,QSAR-TID-100416,QSAR-TID-11,3126,3050
167,9,0.75,QSAR-TID-100416,QSAR-TID-10980,3126,3277
168,8,0.8888888888888888,QSAR-TID-12689,QSAR-TID-11,3127,3050
169,8,0.6666666666666666,QSAR-TID-12689,QSAR-TID-10980,3127,3277
170,8,0.8888888888888888,QSAR-TID-12863,QSAR-TID-11,3128,3050
171,8,0.6666666666666666,QSAR-TID-12863,QSAR-TID-10980,3128,3277
172,7,0.7777777777777778,QSAR-TID-280,QSAR-TID-11,3129,3050
173,7,0.5833333333333334,QSAR-TID-280,QSAR-TID-10980,3129,3277
174,9,1.0,QSAR-TID-11043,QSAR-TID-11,3130,3050
175,8,0.6666666666666666,QSAR-TID-11043,QSAR-TID-10980,3130,3277
176,7,0.7777777777777778,QSAR-TID-23,QSAR-TID-11,3131,3050
177,7,0.5833333333333334,QSAR-TID-23,QSAR-TID-10980,3131,3277
178,9,1.0,QSAR-TID-11473,QSAR-TID-11,3132,3050
179,8,0.6666666666666666,QSAR-TID-11473,QSAR-TID-10980,3132,3277
180,9,1.0,QSAR-TID-11004,QSAR-TID-11,3133,3050
181,8,0.6666666666666666,QSAR-TID-11004,QSAR-TID-10980,3133,3277
182,8,0.8888888888888888,QSAR-TID-10842,QSAR-TID-11,3134,3050
183,9,0.75,QSAR-TID-10842,QSAR-TID-10980,3134,3277
184,8,0.8888888888888888,QSAR-TID-101359,QSAR-TID-11,3135,3050
185,9,0.75,QSAR-TID-101359,QSAR-TID-10980,3135,3277
186,8,0.8888888888888888,QSAR-TID-12847,QSAR-TID-11,3136,3050
187,8,0.6666666666666666,QSAR-TID-12847,QSAR-TID-10980,3136,3277
188,7,0.7777777777777778,QSAR-TID-30032,QSAR-TID-11,3138,3050
189,7,0.5833333333333334,QSAR-TID-30032,QSAR-TID-10980,3138,3277
190,7,0.7777777777777778,QSAR-TID-20113,QSAR-TID-11,3139,3050
191,7,0.5833333333333334,QSAR-TID-20113,QSAR-TID-10980,3139,3277
192,8,0.8888888888888888,QSAR-TID-100063,QSAR-TID-11,3140,3050
193,9,0.75,QSAR-TID-100063,QSAR-TID-10980,3140,3277
194,8,0.8888888888888888,QSAR-TID-12725,QSAR-TID-11,3141,3050
195,8,0.6666666666666666,QSAR-TID-12725,QSAR-TID-10980,3141,3277
196,8,0.8888888888888888,QSAR-TID-12252,QSAR-TID-11,3142,3050
197,8,0.6666666666666666,QSAR-TID-12252,QSAR-TID-10980,3142,3277
198,7,0.7777777777777778,QSAR-TID-20139,QSAR-TID-11,3143,3050
199,7,0.5833333333333334,QSAR-TID-20139,QSAR-TID-10980,3143,3277
200,8,0.8888888888888888,QSAR-TID-100836,QSAR-TID-11,3144,3050
201,9,0.75,QSAR-TID-100836,QSAR-TID-10980,3144,3277
202,8,0.8888888888888888,QSAR-TID-12067,QSAR-TID-11,3145,3050
203,8,0.6666666666666666,QSAR-TID-12067,QSAR-TID-10980,3145,3277
204,8,0.8888888888888888,QSAR-TID-10496,QSAR-TID-11,3146,3050
205,9,0.75,QSAR-TID-10496,QSAR-TID-10980,3146,3277
206,8,0.8888888888888888,QSAR-TID-100027,QSAR-TID-11,3147,3050
207,9,0.75,QSAR-TID-100027,QSAR-TID-10980,3147,3277
208,8,0.8888888888888888,QSAR-TID-13005,QSAR-TID-11,3149,3050
209,8,0.6666666666666666,QSAR-TID-13005,QSAR-TID-10980,3149,3277
210,8,0.8888888888888888,QSAR-TID-101231,QSAR-TID-11,3150,3050
211,9,0.75,QSAR-TID-101231,QSAR-TID-10980,3150,3277
212,7,0.7777777777777778,QSAR-TID-30024,QSAR-TID-11,3151,3050
213,7,0.5833333333333334,QSAR-TID-30024,QSAR-TID-10980,3151,3277
214,9,1.0,QSAR-TID-11908,QSAR-TID-11,3152,3050
215,8,0.6666666666666666,QSAR-TID-11908,QSAR-TID-10980,3152,3277
216,8,0.8888888888888888,QSAR-TID-197,QSAR-TID-11,3153,3050
217,8,0.6666666666666666,QSAR-TID-197,QSAR-TID-10980,3153,3277
218,8,0.8888888888888888,QSAR-TID-101448,QSAR-TID-11,3154,3050
219,9,0.75,QSAR-TID-101448,QSAR-TID-10980,3154,3277
220,9,1.0,QSAR-TID-11044,QSAR-TID-11,3155,3050
221,8,0.6666666666666666,QSAR-TID-11044,QSAR-TID-10980,3155,3277
222,8,0.8888888888888888,QSAR-TID-100107,QSAR-TID-11,3156,3050
223,9,0.75,QSAR-TID-100107,QSAR-TID-10980,3156,3277
224,8,0.8888888888888888,QSAR-TID-101110,QSAR-TID-11,3157,3050
225,9,0.75,QSAR-TID-101110,QSAR-TID-10980,3157,3277
226,7,0.7777777777777778,QSAR-TID-20104,QSAR-TID-11,3158,3050
227,7,0.5833333333333334,QSAR-TID-20104,QSAR-TID-10980,3158,3277
228,7,0.7777777777777778,QSAR-TID-20020,QSAR-TID-11,3159,3050
229,7,0.5833333333333334,QSAR-TID-20020,QSAR-TID-10980,3159,3277
230,8,0.8888888888888888,QSAR-TID-10929,QSAR-TID-11,3161,3050
231,10,0.8333333333333334,QSAR-TID-10929,QSAR-TID-10980,3161,3277
232,9,1.0,QSAR-TID-11785,QSAR-TID-11,3162,3050
233,8,0.6666666666666666,QSAR-TID-11785,QSAR-TID-10980,3162,3277
234,7,0.7777777777777778,QSAR-TID-20158,QSAR-TID-11,3163,3050
235,7,0.5833333333333334,QSAR-TID-20158,QSAR-TID-10980,3163,3277
236,8,0.8888888888888888,QSAR-TID-136,QSAR-TID-11,3164,3050
237,8,0.6666666666666666,QSAR-TID-136,QSAR-TID-10980,3164,3277
238,8,0.8888888888888888,QSAR-TID-129,QSAR-TID-11,3165,3050
239,8,0.6666666666666666,QSAR-TID-129,QSAR-TID-10980,3165,3277
240,7,0.7777777777777778,QSAR-TID-279,QSAR-TID-11,3166,3050
241,7,0.5833333333333334,QSAR-TID-279,QSAR-TID-10980,3166,3277
242,8,0.8888888888888888,QSAR-TID-100848,QSAR-TID-11,3167,3050
243,9,0.75,QSAR-TID-100848,QSAR-TID-10980,3167,3277
244,8,0.8888888888888888,QSAR-TID-10541,QSAR-TID-11,3169,3050
245,9,0.75,QSAR-TID-10541,QSAR-TID-10980,3169,3277
246,8,0.8888888888888888,QSAR-TID-101309,QSAR-TID-11,3171,3050
247,9,0.75,QSAR-TID-101309,QSAR-TID-10980,3171,3277
248,8,0.8888888888888888,QSAR-TID-12950,QSAR-TID-11,3172,3050
249,8,0.6666666666666666,QSAR-TID-12950,QSAR-TID-10980,3172,3277
250,8,0.8888888888888888,QSAR-TID-101584,QSAR-TID-11,3173,3050
251,9,0.75,QSAR-TID-101584,QSAR-TID-10980,3173,3277
252,8,0.8888888888888888,QSAR-TID-103900,QSAR-TID-11,3175,3050
253,9,0.75,QSAR-TID-103900,QSAR-TID-10980,3175,3277
254,8,0.8888888888888888,QSAR-TID-100871,QSAR-TID-11,3176,3050
255,9,0.75,QSAR-TID-100871,QSAR-TID-10980,3176,3277
256,8,0.8888888888888888,QSAR-TID-103063,QSAR-TID-11,3177,3050
257,9,0.75,QSAR-TID-103063,QSAR-TID-10980,3177,3277
258,9,1.0,QSAR-TID-11140,QSAR-TID-11,3178,3050
259,8,0.6666666666666666,QSAR-TID-11140,QSAR-TID-10980,3178,3277
260,8,0.8888888888888888,QSAR-TID-100430,QSAR-TID-11,3179,3050
261,9,0.75,QSAR-TID-100430,QSAR-TID-10980,3179,3277
262,8,0.8888888888888888,QSAR-TID-12162,QSAR-TID-11,3180,3050
263,8,0.6666666666666666,QSAR-TID-12162,QSAR-TID-10980,3180,3277
264,8,0.8888888888888888,QSAR-TID-133,QSAR-TID-11,3181,3050
265,8,0.6666666666666666,QSAR-TID-133,QSAR-TID-10980,3181,3277
266,8,0.8888888888888888,QSAR-TID-10266,QSAR-TID-11,3182,3050
267,9,0.75,QSAR-TID-10266,QSAR-TID-10980,3182,3277
268,7,0.7777777777777778,QSAR-TID-30008,QSAR-TID-11,3183,3050
269,7,0.5833333333333334,QSAR-TID-30008,QSAR-TID-10980,3183,3277
270,8,0.8888888888888888,QSAR-TID-10116,QSAR-TID-11,3184,3050
271,9,0.75,QSAR-TID-10116,QSAR-TID-10980,3184,3277
272,9,1.0,QSAR-TID-11755,QSAR-TID-11,3185,3050
273,8,0.6666666666666666,QSAR-TID-11755,QSAR-TID-10980,3185,3277
274,7,0.7777777777777778,QSAR-TID-266,QSAR-TID-11,3187,3050
275,7,0.5833333333333334,QSAR-TID-266,QSAR-TID-10980,3187,3277
276,8,0.8888888888888888,QSAR-TID-101356,QSAR-TID-11,3189,3050
277,9,0.75,QSAR-TID-101356,QSAR-TID-10980,3189,3277
278,8,0.8888888888888888,QSAR-TID-101548,QSAR-TID-11,3190,3050
279,9,0.75,QSAR-TID-101548,QSAR-TID-10980,3190,3277
280,9,1.0,QSAR-TID-11403,QSAR-TID-11,3191,3050
281,8,0.6666666666666666,QSAR-TID-11403,QSAR-TID-10980,3191,3277
282,8,0.8888888888888888,QSAR-TID-10188,QSAR-TID-11,3193,3050
283,9,0.75,QSAR-TID-10188,QSAR-TID-10980,3193,3277
284,8,0.8888888888888888,QSAR-TID-101239,QSAR-TID-11,3194,3050
285,9,0.75,QSAR-TID-101239,QSAR-TID-10980,3194,3277
286,8,0.8888888888888888,QSAR-TID-100857,QSAR-TID-11,3195,3050
287,9,0.75,QSAR-TID-100857,QSAR-TID-10980,3195,3277
288,8,0.8888888888888888,QSAR-TID-102,QSAR-TID-11,3196,3050
289,9,0.75,QSAR-TID-102,QSAR-TID-10980,3196,3277
290,8,0.8888888888888888,QSAR-TID-10918,QSAR-TID-11,3197,3050
291,10,0.8333333333333334,QSAR-TID-10918,QSAR-TID-10980,3197,3277
292,8,0.8888888888888888,QSAR-TID-10074,QSAR-TID-11,3198,3050
293,9,0.75,QSAR-TID-10074,QSAR-TID-10980,3198,3277
294,7,0.7777777777777778,QSAR-TID-30045,QSAR-TID-11,3199,3050
